iteration,total cost,RG Gap
0,1.8710937990938266,1.0
1,1.1148479199462062,0.6783399471957671
2,0.8274728052998186,0.3472925186251443
3,0.6852073617181743,0.2076239274851195
4,0.5935380456594014,0.15444556036324733
5,0.5239629684218665,0.13278624908758208
6,0.46713310947229364,0.12165667086576645
7,0.41937782105921156,0.11387175481161067
8,0.37881076597123325,0.10709055478919244
9,0.34418830670109735,0.1005916197501823
10,0.3145612815862155,0.09418522510298723
11,0.28915765816487665,0.08785388421860087
12,0.26733419685587717,0.08163363148323576
13,0.24855025135917502,0.07557403540726194
14,0.23234988553940833,0.06972401033104442
15,0.21834802729399685,0.06412633271267679
16,0.2062191672123157,0.05881538678310015
17,0.1956879519421918,0.05381637022413589
18,0.18652129947445212,0.04914533886246722
19,0.17852177306485073,0.04480980819463091
20,0.17152200704952675,0.04080972544416886
21,0.1653800150935789,0.037138658818433645
22,0.15997523977303543,0.03378507404152978
23,0.15520522534330758,0.030733594305067873
24,0.15098281456217055,0.027966168158816206
25,0.14723378632053843,0.025463097399874082
26,0.143894864145183,0.023203900953592305
27,0.1409120368043016,0.021168009550695414
28,0.13823914161979692,0.019335299345651397
29,0.13583666895979207,0.017686480965724963
30,0.13367075299395573,0.016203364740036166
31,0.13171231934561112,0.01486902408274893
32,0.12993636493855737,0.013667878179396034
33,0.12832134925559727,0.01258571307369305
34,0.12684867951951515,0.01160965759880502
35,0.12550227507597472,0.010728127778762222
36,0.12426819858559252,0.009930750621867346
37,0.12313434358989621,0.009208275795684229
38,0.12209016966218746,0.008552481584699964
39,0.12112647773922082,0.007956079801489945
40,0.1202352193948026,0.007412622931153801
41,0.11940933479694982,0.006916415699469054
42,0.11864261491553144,0.006462432423326594
43,0.11792958424207833,0.006046240882096542
44,0.11726540086843736,0.005663932999181404
45,0.1166457712636027,0.005312062307294254
46,0.11606687750304683,0.004987587957991571
47,0.11552531505451606,0.004687824900327706
48,0.11501803951888924,0.004410399775102348
49,0.11454232097305656,0.0041532120336952695
50,0.11409570477115982,0.003914399782117164
51,0.11367597783710545,0.003692309862122567
52,0.11328113963021698,0.0034854717049752626
53,0.11290937709155333,0.0032925745251628385
54,0.11255904298449518,0.0031124474566331
55,0.11222863713274207,0.0029440422711567472
56,0.1119167901344866,0.0027864183549289874
57,0.11162224919541706,0.0026387296546397975
58,0.11134386577718902,0.002500213337168637
59,0.11108058480364928,0.002370179937431245
60,0.11083143520570202,0.0022480047965168556
61,0.1105955216183665,0.002133120617212586
62,0.11037201707123054,0.0020250109861788454
63,0.1101601565369175,0.0019232047318490566
64,0.10995923122203521,0.0018272710044377537
65,0.10976858350189442,0.0017368149798298717
66,0.10958760241456447,0.0016514741023834344
67,0.10941571964195,0.0015709147933856
68,0.10925240591586556,0.0014948295620163046
69,0.10909716779584624,0.001422934464346621
70,0.10894954477286659,0.0013549668636745349
71,0.1088091066594981,0.0012906834517809988
72,0.10867545123242954,0.0012298584965863362
73,0.10854820209789288,0.0011722822863698603
74,0.10842700675448123,0.001117759744913754
75,0.10831153483120495,0.0010661091956293916
76,0.10820147648153025,0.0010171612555905259
77,0.10809654091660474,0.0009707578432733218
78,0.10799645506300826,0.0009267512858462987
79,0.10790096233218616,0.0008850035139456305
80,0.10780982149029812,0.0008453853334339931
81,0.10772280561856763,0.0008077757651300042
82,0.10763970115539213,0.0007720614446478832
83,0.1075603070124846,0.0007381360755907309
84,0.10748443375819942,0.0007058999301784232
85,0.10741190286195504,0.000675259392225847
86,0.10734254599433694,0.0006461265379503301
87,0.10727620437803781,0.0006184187507729915
88,0.10721272818530507,0.0005920583666430714
89,0.10715197597800787,0.0005669723469184867
90,0.10709381418682633,0.0005430919761628257
91,0.10703811662641088,0.0005203525825276024
92,0.10698476404366274,0.0004986932786651153
93,0.10693364369655439,0.0004780567213571063
94,0.10688464896115124,0.00045838888820189257
95,0.1068376789646986,0.00043963886999226574
96,0.10679263824284047,0.0004217586773698654
97,0.10674943641919228,0.00040470306071252346
98,0.10670798790564802,0.00038842934214926094
99,0.10666821162193864,0.000372897258748077
100,0.106630030733077,0.00035806881606564146
101,0.10659337240343629,0.00034390815126823684
102,0.10655816756630991,0.00033038140510882526
103,0.1065243507078898,0.00031745660213256926
104,0.1064918596646819,0.00030510353852596637
